Session,EventRene,EDA_AR
Bram_C,All,0.5395334164938618
Bram_C,BS,0.5235181112800451
Bram_C,CG,0.4461066011461199
Bram_C,FT,0.5472558490653615
Bram_C,HF,0.5161436511658342
Bregjie_C,All,0.7268006532614605
Bregjie_C,BS,0.26660695361624365
Bregjie_C,CG,0.6488411563278788
Bregjie_C,FT,0.6171191550848517
Bregjie_C,HF,0.6187428345130332
Danique_C,All,0.5182760650304102
Danique_C,BS,0.5078030666014773
Danique_C,CG,0.6250037212927751
Danique_C,FT,0.5951120531905033
Danique_C,HF,0.6360489680111907
Gijs_C,All,0.5481826425635683
Gijs_C,BS,0.4003003267878132
Gijs_C,CG,0.4168301522668675
Gijs_C,FT,0.4172559598663419
Gijs_C,HF,0.4113794749269836
Jeroen_C,All,0.7145847923068068
Jeroen_C,BS,0.5330832325223842
Jeroen_C,CG,0.59547299680661
Jeroen_C,FT,0.5466309663126954
Jeroen_C,HF,0.5544180399220181
Joep_C,All,0.2613174026244048
Joep_C,BS,0.4512933238612358
Joep_C,CG,0.3727142505102206
Joep_C,FT,0.5101951720381938
Joep_C,HF,0.4546703386878675
Juur_C,All,0.3228868634690797
Juur_C,BS,0.48621562809802865
Juur_C,CG,0.26930976380938343
Juur_C,FT,0.5710218820427123
Juur_C,HF,0.4829111849051982
Klaas_C,All,0.6665965691315106
Klaas_C,BS,0.6196362429739994
Klaas_C,CG,0.568593522626525
Klaas_C,FT,0.5696073705829456
Klaas_C,HF,0.6047466984234809
Leonie_C,All,0.48910367648608677
Leonie_C,BS,0.4775554464547361
Leonie_C,CG,0.5207877778526966
Leonie_C,FT,0.48770377993066727
Leonie_C,HF,0.4710775395289689
Lieve_C,All,0.47491554097262656
Lieve_C,BS,0.4064453997145802
Lieve_C,CG,0.6620265169091437
Lieve_C,FT,0.35918269129493685
Lieve_C,HF,0.44947888708124684
Mira_C,All,0.43376975692335185
Mira_C,BS,0.5722355162097257
Mira_C,CG,0.4421874182915411
Mira_C,FT,0.5131909509251398
Mira_C,HF,0.27493473951963054
Noortje_C,All,0.550910955051975
Noortje_C,BS,0.5873083538351909
Noortje_C,CG,0.5366733186695937
Noortje_C,FT,0.43142478863687833
Noortje_C,HF,0.6101256845874079
Peuter_C,All,0.448667580395848
Peuter_C,BS,0.8553079161883468
Peuter_C,CG,0.5122405947143172
Peuter_C,FT,0.5600338870672306
Peuter_C,HF,0.6181290050820585
Pieter_C,All,0.5212537916361542
Pieter_C,BS,0.6800811126718227
Pieter_C,CG,0.5000078645232537
Pieter_C,FT,0.5548788202781603
Pieter_C,HF,0.5547060212767735
Tijn_C,All,0.45434328897579385
Tijn_C,BS,0.6133401192290264
Tijn_C,CG,0.6840037097654682
Tijn_C,FT,0.5364858813982232
Tijn_C,HF,0.6232873225335405
Valentijn_C,All,0.5049044498760799
Valentijn_C,BS,0.32367870211929356
Valentijn_C,CG,0.36503508294519194
Valentijn_C,FT,0.4763764595692142
Valentijn_C,HF,0.41812539774671365
